repetition,rows,maeWins,rmseWins,r2,biasWins,predictionStdWins,actualStdWins,predictionRangeWins,actualRangeWins
36,300,10.747243023892008,13.727166224690608,-0.30472367879569173,0.015274075446208724,5.77886096456613,12.01770725259019,36.42900874511503,54.00000037999999
37,300,10.988012601629181,13.212601439827464,-0.20874148632750833,0.013664290603866919,5.528499277352801,12.01770725259019,34.17362145747896,54.00000037999999
38,300,11.035076319204727,13.679666376099108,-0.29570988058581826,0.016802604201371737,5.659638375623351,12.01770725259019,34.509885289269846,54.00000037999999
39,300,10.97550252916013,13.56283619212931,-0.27367255845521354,0.016250160824029875,5.825783076884674,12.01770725259019,37.5430579178514,54.00000037999999
40,300,10.288167515301334,12.456145090094747,-0.07429628892680862,0.015270565482208969,5.64236393588358,12.01770725259019,34.77020049497336,54.00000037999999
41,300,10.209304722260454,12.79790748192071,-0.13405649818932575,0.013183955208988594,5.5660625067281035,12.01770725259019,35.96745991162973,54.00000037999999
42,300,11.117857179431427,13.872727499591724,-0.3325406614318589,0.0165890930488798,5.83119179861171,12.01770725259019,37.170865447619505,54.00000037999999
43,300,10.668423652505,13.35434657948748,-0.2348154226836825,0.018828164591425178,5.768836258742118,12.01770725259019,36.780578266733926,54.00000037999999
44,300,10.693874781410601,13.225744179685101,-0.21114738286056123,0.012242959486318601,5.607901496301527,12.01770725259019,35.11377614850265,54.00000037999999
45,300,10.08394348123489,12.803443675664203,-0.13503786400448226,0.015602950620230397,5.66527161289935,12.01770725259019,35.659402471238664,54.00000037999999
46,300,11.115450920548097,13.926004537189883,-0.34279533439408083,0.02007161900007438,5.793372339687277,12.01770725259019,36.606968665089475,54.00000037999999
47,300,9.863258947028426,12.363784258663062,-0.05842379631364669,0.012516231000698591,5.76693031870074,12.01770725259019,33.99967793465486,54.00000037999999
48,300,10.899509662874847,13.57312194750141,-0.27560514125863156,0.013201991920711163,5.758633226285337,12.01770725259019,38.29607777513865,54.00000037999999
49,300,10.683987971643932,13.412393610026927,-0.24557344027841999,0.014048871005000964,5.7263586044763795,12.01770725259019,36.683582476227414,54.00000037999999
50,300,10.713476014681525,13.347023877865198,-0.233461600427191,0.013874382017781777,5.706230475721811,12.01770725259019,37.10154790307003,54.00000037999999
51,300,11.077382904094195,13.869762956243045,-0.33197120564666904,0.020745962866595243,5.869330460689188,12.01770725259019,37.14089299936889,54.00000037999999
52,300,10.961977019184008,13.440121106342115,-0.2507287217057803,0.017848856596355135,5.74156661590438,12.01770725259019,36.519209861780155,54.00000037999999
53,300,11.110651074127391,13.609735843736626,-0.2824963882903826,0.016624166828058524,5.584378735810988,12.01770725259019,35.75657067717898,54.00000037999999
54,300,10.803021820145451,13.461213052538696,-0.2546574069248928,0.015022163251316651,5.908059929288021,12.01770725259019,40.02548306911581,54.00000037999999
55,300,10.503497813461124,13.090115762512726,-0.18643440849450688,0.01466365343401036,5.655137405989121,12.01770725259019,38.79490778875242,54.00000037999999
56,300,11.335042166302177,14.169749351731499,-0.39021219908888405,0.0162242452286135,5.895048407176956,12.01770725259019,40.39335683528833,54.00000037999999
57,300,10.847544998188368,13.183535528623723,-0.20342920489848249,0.018896210148646588,5.613315326840421,12.01770725259019,33.678388568097716,54.00000037999999
58,300,10.383967335921964,13.049819556331745,-0.17914108583194333,0.017217537570148263,5.834962135495545,12.01770725259019,38.99160232005926,54.00000037999999
59,300,11.226713803269009,13.879712681757326,-0.33388291841064754,0.013505025879737372,5.9039258038213625,12.01770725259019,39.04612752589093,54.00000037999999
60,300,11.413108456913625,14.134692812769197,-0.38334182482151435,0.014258821179241998,5.636231161538912,12.01770725259019,32.56478631600528,54.00000037999999
61,300,11.933027134162721,14.585184409495495,-0.47292491350243826,0.022432591438747807,5.784910859260491,12.01770725259019,35.7416720985453,54.00000037999999
62,300,10.246829947645352,12.450472286946033,-0.07331799530649152,0.017749372242628805,5.613837973367095,12.01770725259019,36.97190500980521,54.00000037999999
63,300,10.962032162906631,13.618922013664822,-0.2842282669809899,0.012549793628382584,5.728752047029105,12.01770725259019,35.0574749822408,54.00000037999999
64,300,11.550969435580376,14.126620244869754,-0.38176217507760724,0.015599350966210039,5.622599264716724,12.01770725259019,35.4150486498866,54.00000037999999
65,300,9.645567027923557,12.063114360071058,-0.007570976477154767,0.004073392148545558,5.734150072344931,12.01770725259019,36.58002555573964,54.00000037999999
66,300,10.954666665788363,13.63745788726678,-0.2877264134694262,0.018015215587997287,5.7108764012957005,12.01770725259019,38.73305904075947,54.00000037999999
67,300,11.304894650285208,13.863207420909125,-0.33071239238597294,0.017015102514850267,5.52556890634446,12.01770725259019,34.94470651369943,54.00000037999999
68,300,10.346612108490238,12.660048028803605,-0.10975590732818397,0.013195583103435347,5.669424124651593,12.01770725259019,37.932246380340914,54.00000037999999
69,300,11.016465257747349,13.518050217642664,-0.26527483318214595,0.013148895354182101,5.852607805641515,12.01770725259019,37.245243648210355,54.00000037999999
70,300,10.308296921747699,12.885080258216867,-0.14955833572729094,0.012407120534754448,5.614841598038139,12.01770725259019,33.645499474528975,54.00000037999999
71,300,11.222132984975579,13.947369927731682,-0.3469187503208906,0.012414191900749702,5.675636257488328,12.01770725259019,35.61264900419266,54.00000037999999
72,300,11.530387903546517,14.02509625103068,-0.36197287959198854,0.019847126289082483,5.686708153932171,12.01770725259019,39.40123988685846,54.00000037999999
73,300,10.680567602271555,13.17015546483695,-0.20098770679003386,0.01616995592383803,5.613744231092923,12.01770725259019,34.597703354885454,54.00000037999999
74,300,9.58444920747773,11.885738670918183,0.021841769594670435,0.009848878639933006,5.568956407501532,12.01770725259019,34.49064088172002,54.00000037999999
75,300,10.220403549186601,12.689949766407182,-0.1150043578929909,0.005138072331121251,5.59994149031279,12.01770725259019,34.76589277967929,54.00000037999999
