model,seasonEndYear,rows,maeWins,rmseWins,r2,biasWins,predictionStdWins,actualStdWins,predictionRangeWins,actualRangeWins
prior_season,2025,30,9.133333348,12.085804480684619,0.15274552236162475,-3.279999982434371e-07,13.185850636345071,13.130117959866213,49.99999937999999,51.00000085999999
prior_season,2026,30,10.399999757333335,13.361636468636695,0.03634400223618006,1.0933333314255833e-07,13.130117959866213,13.61126963453453,51.00000085999999,46.999999859999996
prior_three_seasons,2017,30,6.333333431555556,7.8589414307998995,0.489562281744625,6.559999995658927e-07,11.305193615063587,10.99999968866674,47.999999153333334,46.999999859999996
prior_three_seasons,2018,30,9.933333329333333,12.86741466265637,-0.14660919895296964,3.644444390715762e-08,11.542834653135687,12.01665481005436,50.333332933333324,44.00000198
prior_three_seasons,2019,30,8.355554911111115,11.409871651701389,0.06921941216715777,-3.644444367031004e-08,10.459799374253326,11.826523539400812,43.33333295999999,43.00000132
prior_three_seasons,2020,30,9.706486397333334,12.88821721032766,-0.07095411737007318,0.41643022133333363,9.762361400535589,12.453958505312977,39.33333250666667,43.98103374
prior_three_seasons,2021,30,10.969835815555554,14.541364310201425,-0.6818003835442108,-0.13881027422222136,9.835981930770595,11.212899548808359,35.090067299999994,39.861110200000006
prior_three_seasons,2022,30,10.607341741111112,12.720328086183182,-0.2510832098578948,-0.13880995533333415,8.7381485198719,11.372480872410199,35.75607157333334,43.999999519999996
prior_three_seasons,2023,30,7.037093693777778,8.350566367712576,0.28210055205974827,-0.13881041999999855,8.597166082585405,9.855623906514975,31.888911666666665,40.99999836
prior_three_seasons,2024,30,11.214814578444447,13.191503957230834,-0.0008576667441855257,1.0022222210655703e-07,9.100996170148983,13.185850636345071,35.24073984,49.99999937999999
prior_three_seasons,2025,30,10.688889092000002,13.544713571695093,-0.06414888776479843,-2.733333330932434e-07,9.17201840520842,13.130117959866213,39.33333250666667,51.00000085999999
prior_three_seasons,2026,30,11.26666649488889,14.65100147104104,-0.15861020472697773,-9.111111864967825e-09,9.837945838842607,13.61126963453453,38.33333266666667,46.999999859999996
league_mean_41,2017,30,8.799999302666668,10.99999968866676,-3.552713678800501e-15,6.559999998027403e-07,0.0,10.99999968866674,0.0,46.999999859999996
league_mean_41,2018,30,10.333332800666666,12.016654810054364,-6.661338147750939e-16,3.006666664380949e-07,0.0,12.01665481005436,0.0,44.00000198
league_mean_41,2019,30,9.799999607333332,11.826523539400817,-6.661338147750939e-16,3.55333333601493e-07,0.0,11.826523539400812,0.0,43.00000132
league_mean_41,2020,30,10.95547388,12.460918784164148,-0.0011180740374980846,0.4164306586666667,0.0,12.453958505312977,0.0,43.98103374
league_mean_41,2021,30,9.490740844,11.21289954880836,-2.220446049250313e-16,1.6400000030595644e-07,0.0,11.212899548808359,0.0,39.861110200000006
league_mean_41,2022,30,9.733332650666666,11.372480872410208,-1.5543122344752192e-15,4.373333329255047e-07,0.0,11.372480872410199,0.0,43.999999519999996
league_mean_41,2023,30,7.466666128,9.855623906514975,-2.220446049250313e-16,2.3684757858670006e-16,0.0,9.855623906514975,0.0,40.99999836
league_mean_41,2024,30,11.199999492666672,13.185850636345073,-4.440892098500626e-16,3.006666651354332e-07,0.0,13.185850636345071,0.0,49.99999937999999
league_mean_41,2025,30,10.599999807333331,13.130117959866212,2.220446049250313e-16,-2.733333275273253e-08,0.0,13.130117959866213,0.0,51.00000085999999
league_mean_41,2026,30,11.599999756666667,13.611269634534532,-2.220446049250313e-16,8.200000003455444e-08,0.0,13.61126963453453,0.0,46.999999859999996
preseason_market,2017,30,4.233333354666668,5.197756018129567,0.7767217425346367,0.6666673226666663,9.909871621547655,10.99999968866674,45.0,46.999999859999996
preseason_market,2018,30,5.7666669966666655,7.353003939660942,0.6255770801694789,0.33333363399999977,10.505025252494901,12.01665481005436,45.5,44.00000198
preseason_market,2019,30,6.933333000666666,8.158839387682638,0.5240705639456587,0.633333688666667,10.19798455033586,11.826523539400812,39.0,43.00000132
preseason_market,2020,30,7.050563716000002,9.064112279729052,0.47029298493174276,0.5330973253333333,9.921931375605368,12.453958505312977,34.0,43.98103374
preseason_market,2021,30,7.879629441333333,9.85888568779454,0.22692825757622648,-4.999999835999999,8.159861109929098,11.212899548808359,28.0,39.861110200000006
preseason_market,2022,30,6.933332789333335,8.995368829940736,0.3743556599330663,0.13333377066666627,9.683261617634605,11.372480872410199,34.0,43.999999519999996
preseason_market,2023,30,6.266665997333335,7.531046358906765,0.41609472681842974,0.40000000000000036,10.671925786848409,9.855623906514975,32.0,40.99999836
preseason_market,2024,30,6.566666388666667,7.885640513955421,0.6423504806105296,0.7666669673333322,8.189152716992293,13.185850636345071,30.0,49.99999937999999
preseason_market,2025,30,8.366666762,10.77265074649695,0.3268561154604409,0.33333330600000044,11.021443744910293,13.130117959866213,39.0,51.00000085999999
preseason_market,2026,30,7.466666748666666,9.542012443679535,0.508546216829151,0.20000008200000002,10.795523763733437,13.61126963453453,44.0,46.999999859999996
