team,season,season_end_year,wins,losses,win_pct,predicted_win_pct,training_seasons,selected_model,win_total_line,actual_wins_odds_source,actual_losses_odds_source,source_result,championship_odds,source_url,scheduled_games_for_line,predicted_wins_82,predicted_wins,predicted_wins_for_line,pick,model_edge_wins,comparison_actual_wins,model_abs_error_wins,market_abs_error_wins,grade,stake,profit,cash_return
Washington Wizards,2016-17,2017,49,33,0.597561,0.4159321244062373,3,extra_trees,42.5,49,33,over,+16000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,34.10643420131146,34.10643420131146,34.10643420131146,under,-8.393565798688542,49.0,14.893565798688542,6.5,loss,10.0,-10.0,0.0
Atlanta Hawks,2017-18,2018,24,58,0.29268292,0.37111162364448086,4,extra_trees,25.5,24,58,under,+200000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,30.43115313884743,30.43115313884743,30.43115313884743,over,4.9311531388474314,24.0,6.4311531388474314,1.5,loss,10.0,-10.0,0.0
Boston Celtics,2017-18,2018,55,27,0.6707317,0.6227742032363005,4,extra_trees,53.5,55,27,over,+1200,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,51.06748466537664,51.06748466537664,51.06748466537664,under,-2.4325153346233606,55.0,3.9325153346233606,1.5,loss,10.0,-10.0,0.0
Brooklyn Nets,2017-18,2018,28,54,0.34146342,0.40727030024891614,4,extra_trees,27.5,28,54,over,+250000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,33.39616462041112,33.39616462041112,33.39616462041112,over,5.89616462041112,28.0,5.39616462041112,0.5,win,10.0,9.090909090909092,19.090909090909093
Charlotte Hornets,2017-18,2018,36,46,0.4390244,0.4996937411097935,4,extra_trees,42.5,36,46,under,+50000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,40.974886771003064,40.974886771003064,40.974886771003064,under,-1.5251132289969362,36.0,4.974886771003064,6.5,win,10.0,9.090909090909092,19.090909090909093
Chicago Bulls,2017-18,2018,27,55,0.3292683,0.37625538603165976,4,extra_trees,22.0,27,55,over,+250000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,30.8529416545961,30.8529416545961,30.8529416545961,over,8.852941654596101,27.0,3.8529416545961013,5.0,win,10.0,9.090909090909092,19.090909090909093
Cleveland Cavaliers,2017-18,2018,50,32,0.6097561,0.6156636996945378,4,extra_trees,53.5,50,32,under,+515,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,50.4844233749521,50.4844233749521,50.4844233749521,under,-3.015576625047899,50.0,0.48442337495210097,3.5,win,10.0,9.090909090909092,19.090909090909093
Dallas Mavericks,2017-18,2018,24,58,0.29268292,0.43302883596622876,4,extra_trees,35.5,24,58,under,+50000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,35.508364549230755,35.508364549230755,35.508364549230755,over,0.008364549230755358,24.0,11.508364549230755,11.5,loss,10.0,-10.0,0.0
Denver Nuggets,2017-18,2018,46,36,0.5609756,0.6243299425453839,4,extra_trees,45.5,46,36,over,+20000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,51.19505528872148,51.19505528872148,51.19505528872148,over,5.695055288721477,46.0,5.195055288721477,0.5,win,10.0,9.090909090909092,19.090909090909093
Detroit Pistons,2017-18,2018,39,43,0.47560975,0.5231756615645019,4,extra_trees,38.5,39,43,over,+63000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,42.900404248289156,42.900404248289156,42.900404248289156,over,4.400404248289156,39.0,3.9004042482891563,0.5,win,10.0,9.090909090909092,19.090909090909093
Golden State Warriors,2017-18,2018,58,24,0.70731705,0.6486179217995122,4,extra_trees,67.5,58,24,under,-187,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,53.18666958756,53.18666958756,53.18666958756,under,-14.313330412440003,58.0,4.813330412440003,9.5,win,10.0,9.090909090909092,19.090909090909093
Houston Rockets,2017-18,2018,65,17,0.79268295,0.6669308023099402,4,extra_trees,55.5,65,17,over,+2150,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,54.688325789415096,54.688325789415096,54.688325789415096,under,-0.8116742105849042,65.0,10.311674210584904,9.5,loss,10.0,-10.0,0.0
Indiana Pacers,2017-18,2018,48,34,0.58536583,0.43458137703670646,4,extra_trees,31.5,48,34,over,+125000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,35.63567291700993,35.63567291700993,35.63567291700993,over,4.135672917009927,48.0,12.364327082990073,16.5,win,10.0,9.090909090909092,19.090909090909093
Los Angeles Clippers,2017-18,2018,42,40,0.5121951,0.5805470834662024,4,extra_trees,43.5,42,40,under,+19000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,47.6048608442286,47.6048608442286,47.6048608442286,over,4.104860844228597,42.0,5.604860844228597,1.5,loss,10.0,-10.0,0.0
Los Angeles Lakers,2017-18,2018,35,47,0.42682928,0.469376393875413,4,extra_trees,33.5,35,47,over,+30000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,38.48886429778387,38.48886429778387,38.48886429778387,over,4.98886429778387,35.0,3.48886429778387,1.5,win,10.0,9.090909090909092,19.090909090909093
Memphis Grizzlies,2017-18,2018,22,60,0.2682927,0.5533052999511713,4,extra_trees,37.5,22,60,under,+37000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,45.37103459599604,45.37103459599604,45.37103459599604,over,7.8710345959960435,22.0,23.371034595996043,15.5,loss,10.0,-10.0,0.0
Miami Heat,2017-18,2018,44,38,0.5365854,0.5650733180433323,4,extra_trees,43.5,44,38,over,+24000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,46.33601207955325,46.33601207955325,46.33601207955325,over,2.8360120795532495,44.0,2.3360120795532495,0.5,win,10.0,9.090909090909092,19.090909090909093
Milwaukee Bucks,2017-18,2018,44,38,0.5365854,0.511978563294107,4,extra_trees,47.5,44,38,under,+8000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,41.98224219011677,41.98224219011677,41.98224219011677,under,-5.5177578098832285,44.0,2.0177578098832285,3.5,win,10.0,9.090909090909092,19.090909090909093
Minnesota Timberwolves,2017-18,2018,47,35,0.5731707,0.6299067122010705,4,extra_trees,48.5,47,35,under,+5000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,51.652350400487784,51.652350400487784,51.652350400487784,over,3.1523504004877836,47.0,4.652350400487784,1.5,loss,10.0,-10.0,0.0
New Orleans Pelicans,2017-18,2018,48,34,0.58536583,0.6195615048669723,4,extra_trees,39.5,48,34,over,+22000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,50.804043399091725,50.804043399091725,50.804043399091725,over,11.304043399091725,48.0,2.804043399091725,8.5,win,10.0,9.090909090909092,19.090909090909093
New York Knicks,2017-18,2018,29,53,0.35365853,0.45305469680215715,4,extra_trees,30.5,29,53,under,+100000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,37.15048513777688,37.15048513777688,37.15048513777688,over,6.650485137776883,29.0,8.150485137776883,1.5,loss,10.0,-10.0,0.0
Oklahoma City Thunder,2017-18,2018,48,34,0.58536583,0.6260255328427297,4,extra_trees,53.5,48,34,under,+2150,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,51.33409369310383,51.33409369310383,51.33409369310383,under,-2.1659063068961686,48.0,3.3340936931038314,5.5,win,10.0,9.090909090909092,19.090909090909093
Orlando Magic,2017-18,2018,25,57,0.30487806,0.3955126418884135,4,extra_trees,33.5,25,57,under,+250000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,32.43203663484991,32.43203663484991,32.43203663484991,under,-1.0679633651500922,25.0,7.432036634849908,8.5,win,10.0,9.090909090909092,19.090909090909093
Philadelphia 76ers,2017-18,2018,52,30,0.63414633,0.49191060549532056,4,extra_trees,39.5,52,30,over,+19000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,40.33666965061629,40.33666965061629,40.33666965061629,over,0.8366696506162867,52.0,11.663330349383713,12.5,win,10.0,9.090909090909092,19.090909090909093
Phoenix Suns,2017-18,2018,21,61,0.25609756,0.48260883756398004,4,extra_trees,28.5,21,61,under,+125000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,39.573924680246364,39.573924680246364,39.573924680246364,over,11.073924680246364,21.0,18.573924680246364,7.5,loss,10.0,-10.0,0.0
Portland Trail Blazers,2017-18,2018,49,33,0.597561,0.5856828449299196,4,extra_trees,42.5,49,33,over,+31500,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,48.02599328425341,48.02599328425341,48.02599328425341,over,5.52599328425341,49.0,0.9740067157465901,6.5,win,10.0,9.090909090909092,19.090909090909093
Sacramento Kings,2017-18,2018,27,55,0.3292683,0.3755915920110872,4,extra_trees,27.5,27,55,under,+125000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,30.798510544909153,30.798510544909153,30.798510544909153,over,3.2985105449091527,27.0,3.7985105449091527,0.5,loss,10.0,-10.0,0.0
San Antonio Spurs,2017-18,2018,47,35,0.5731707,0.6335446483283348,4,extra_trees,55.0,47,35,under,+1800,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,51.95066116292345,51.95066116292345,51.95066116292345,under,-3.0493388370765473,47.0,4.950661162923453,8.0,win,10.0,9.090909090909092,19.090909090909093
Toronto Raptors,2017-18,2018,59,23,0.7195122,0.592500789718436,4,extra_trees,48.5,59,23,over,+15000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,48.585064756911756,48.585064756911756,48.585064756911756,over,0.08506475691175552,59.0,10.414935243088244,10.5,win,10.0,9.090909090909092,19.090909090909093
Utah Jazz,2017-18,2018,48,34,0.58536583,0.4480642676662968,4,extra_trees,40.5,48,34,over,+25000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,36.74126994863634,36.74126994863634,36.74126994863634,under,-3.7587300513636634,48.0,11.258730051363663,7.5,loss,10.0,-10.0,0.0
Washington Wizards,2017-18,2018,43,39,0.5243902,0.5610767242112785,4,extra_trees,48.5,43,39,under,+9000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,46.00829138532484,46.00829138532484,46.00829138532484,under,-2.4917086146751615,43.0,3.0082913853248385,5.5,win,10.0,9.090909090909092,19.090909090909093
